Example,Page,Class,Function,Source File
">>> r = requests.put('https://httpbin.org/put', data={'key': 'value'})
>>> r = requests.delete('https://httpbin.org/delete')
>>> r = requests.head('https://httpbin.org/get')
>>> r = requests.options('https://httpbin.org/get')
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,options,requests/requests/api.py
">>> payload = {'key1': 'value1', 'key2': 'value2'}
>>> r = requests.get('https://httpbin.org/get', params=payload)
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> print(r.url)
https://httpbin.org/get?key2=value2&key1=value1
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,N/A,N/A
">>> payload = {'key1': 'value1', 'key2': ['value2', 'value3']}

>>> r = requests.get('https://httpbin.org/get', params=payload)
>>> print(r.url)
https://httpbin.org/get?key1=value1&key2=value2&key2=value3
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> import requests

>>> r = requests.get('https://api.github.com/events')
>>> r.text
'[{""repository"":{""open_issues"":0,""url"":""https://github.com/...
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> import requests

>>> r = requests.get('https://api.github.com/events')
>>> r.text
'[{""repository"":{""open_issues"":0,""url"":""https://github.com/...
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,text,requests/requests/models.py
">>> from PIL import Image
>>> from io import BytesIO

>>> i = Image.open(BytesIO(r.content))
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,content,requests/requests/models.py
">>> import requests

>>> r = requests.get('https://api.github.com/events')
>>> r.json()
[{'repository': {'open_issues': 0, 'url': 'https://github.com/...
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> import requests

>>> r = requests.get('https://api.github.com/events')
>>> r.json()
[{'repository': {'open_issues': 0, 'url': 'https://github.com/...
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,json,requests/requests/models.py
">>> r = requests.get('https://api.github.com/events', stream=True)

>>> r.raw


>>> r.raw.read(10)
'\x1f\x8b\x08\x00\x00\x00\x00\x00\x00\x03'
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
"with open(filename, 'wb') as fd:
    for chunk in r.iter_content(chunk_size=128):
        fd.write(chunk)
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,iter_content,requests/requests/models.py
">>> url = 'https://api.github.com/some/endpoint'
>>> headers = {'user-agent': 'my-app/0.0.1'}

>>> r = requests.get(url, headers=headers)
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> payload = {'key1': 'value1', 'key2': 'value2'}

>>> r = requests.post(""https://httpbin.org/post"", data=payload)
>>> print(r.text)
{
  ...
  ""form"": {
    ""key2"": ""value2"",
    ""key1"": ""value1""
  },
  ...
}
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,post,requests/requests/api.py
">>> payload_tuples = [('key1', 'value1'), ('key1', 'value2')]
>>> r1 = requests.post('https://httpbin.org/post', data=payload_tuples)
>>> payload_dict = {'key1': ['value1', 'value2']}
>>> r2 = requests.post('https://httpbin.org/post', data=payload_dict)
>>> print(r1.text)
{
  ...
  ""form"": {
    ""key1"": [
      ""value1"",
      ""value2""
    ]
  },
  ...
}
>>> r1.text == r2.text
True
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,post,requests/requests/api.py
">>> import json

>>> url = 'https://api.github.com/some/endpoint'
>>> payload = {'some': 'data'}

>>> r = requests.post(url, data=json.dumps(payload))
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,post,requests/requests/api.py
">>> r = requests.post(url, json=payload)
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,post,requests/requests/api.py
">>> url = 'https://httpbin.org/post'
>>> files = {'file': open('report.xls', 'rb')}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": """"
  },
  ...
}
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,post,requests/requests/api.py
">>> url = 'https://httpbin.org/post'
>>> files = {'file': open('report.xls', 'rb')}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": """"
  },
  ...
}
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,text,requests/requests/models.py
">>> url = 'https://httpbin.org/post'
>>> files = {'file': ('report.xls', open('report.xls', 'rb'), 'application/vnd.ms-excel', {'Expires': '0'})}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": """"
  },
  ...
}
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,post,requests/requests/api.py
">>> url = 'https://httpbin.org/post'
>>> files = {'file': ('report.xls', open('report.xls', 'rb'), 'application/vnd.ms-excel', {'Expires': '0'})}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": """"
  },
  ...
}
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,text,requests/requests/models.py
">>> url = 'https://httpbin.org/post'
>>> files = {'file': ('report.csv', 'some,data,to,send\nanother,row,to,send\n')}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": ""some,data,to,send\\nanother,row,to,send\\n""
  },
  ...
}
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,post,requests/requests/api.py
">>> url = 'https://httpbin.org/post'
>>> files = {'file': ('report.csv', 'some,data,to,send\nanother,row,to,send\n')}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": ""some,data,to,send\\nanother,row,to,send\\n""
  },
  ...
}
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,text,requests/requests/models.py
">>> r = requests.get('https://httpbin.org/get')
>>> r.status_code
200
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> bad_r = requests.get('https://httpbin.org/status/404')
>>> bad_r.status_code
404

>>> bad_r.raise_for_status()
Traceback (most recent call last):
  File ""requests/models.py"", line 832, in raise_for_status
    raise http_error
requests.exceptions.HTTPError: 404 Client Error
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> bad_r = requests.get('https://httpbin.org/status/404')
>>> bad_r.status_code
404

>>> bad_r.raise_for_status()
Traceback (most recent call last):
  File ""requests/models.py"", line 832, in raise_for_status
    raise http_error
requests.exceptions.HTTPError: 404 Client Error
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,raise_for_status,requests/requests/models.py
">>> r.raise_for_status()
None
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,raise_for_status,requests/requests/models.py
">>> r.headers['Content-Type']
'application/json'

>>> r.headers.get('content-type')
'application/json'
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> url = 'http://example.com/some/cookie/setting/url'
>>> r = requests.get(url)

>>> r.cookies['example_cookie_name']
'example_cookie_value'
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> url = 'https://httpbin.org/cookies'
>>> cookies = dict(cookies_are='working')

>>> r = requests.get(url, cookies=cookies)
>>> r.text
'{""cookies"": {""cookies_are"": ""working""}}'
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> url = 'https://httpbin.org/cookies'
>>> cookies = dict(cookies_are='working')

>>> r = requests.get(url, cookies=cookies)
>>> r.text
'{""cookies"": {""cookies_are"": ""working""}}'
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,text,requests/requests/models.py
">>> jar = requests.cookies.RequestsCookieJar()
>>> jar.set('tasty_cookie', 'yum', domain='httpbin.org', path='/cookies')
>>> jar.set('gross_cookie', 'blech', domain='httpbin.org', path='/elsewhere')
>>> url = 'https://httpbin.org/cookies'
>>> r = requests.get(url, cookies=jar)
>>> r.text
'{""cookies"": {""tasty_cookie"": ""yum""}}'
",https://docs.python-requests.org/en/latest/user/quickstart/,RequestsCookieJar,set,requests/requests/cookies.py
">>> jar = requests.cookies.RequestsCookieJar()
>>> jar.set('tasty_cookie', 'yum', domain='httpbin.org', path='/cookies')
>>> jar.set('gross_cookie', 'blech', domain='httpbin.org', path='/elsewhere')
>>> url = 'https://httpbin.org/cookies'
>>> r = requests.get(url, cookies=jar)
>>> r.text
'{""cookies"": {""tasty_cookie"": ""yum""}}'
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> jar = requests.cookies.RequestsCookieJar()
>>> jar.set('tasty_cookie', 'yum', domain='httpbin.org', path='/cookies')
>>> jar.set('gross_cookie', 'blech', domain='httpbin.org', path='/elsewhere')
>>> url = 'https://httpbin.org/cookies'
>>> r = requests.get(url, cookies=jar)
>>> r.text
'{""cookies"": {""tasty_cookie"": ""yum""}}'
",https://docs.python-requests.org/en/latest/user/quickstart/,Response,text,requests/requests/models.py
">>> r = requests.get('http://github.com/')

>>> r.url
'https://github.com/'

>>> r.status_code
200

>>> r.history
[]
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> r = requests.get('http://github.com/', allow_redirects=False)

>>> r.status_code
301

>>> r.history
[]
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> r = requests.head('http://github.com/', allow_redirects=True)

>>> r.url
'https://github.com/'

>>> r.history
[]
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,head,requests/requests/api.py
">>> requests.get('https://github.com/', timeout=0.001)
Traceback (most recent call last):
  File """", line 1, in 
requests.exceptions.Timeout: HTTPConnectionPool(host='github.com', port=80): Request timed out. (timeout=0.001)
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
requests.get(),https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
Request.prepare(),https://docs.python-requests.org/en/latest/user/advanced/,Request,prepare,requests/requests/models.py
Session.prepare_request(),https://docs.python-requests.org/en/latest/user/advanced/,Session,prepare_request,requests/requests/sessions.py
Response.iter_content(),https://docs.python-requests.org/en/latest/user/advanced/,Response,iter_content,requests/requests/models.py
Response.iter_lines(),https://docs.python-requests.org/en/latest/user/advanced/,Response,iter_lines,requests/requests/models.py
Response.iter_content(),https://docs.python-requests.org/en/latest/user/advanced/,Response,iter_content,requests/requests/models.py
"(form_field_name, file_info)",https://docs.python-requests.org/en/latest/user/advanced/,N/A,N/A,N/A
Response.iter_lines(),https://docs.python-requests.org/en/latest/user/advanced/,Response,iter_lines,requests/requests/models.py
Response.iter_content(),https://docs.python-requests.org/en/latest/user/advanced/,Response,iter_content,requests/requests/models.py
"s = requests.Session()

s.get('https://httpbin.org/cookies/set/sessioncookie/123456789')
r = s.get('https://httpbin.org/cookies')

print(r.text)
# '{""cookies"": {""sessioncookie"": ""123456789""}}'
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
"s = requests.Session()

s.get('https://httpbin.org/cookies/set/sessioncookie/123456789')
r = s.get('https://httpbin.org/cookies')

print(r.text)
# '{""cookies"": {""sessioncookie"": ""123456789""}}'
",https://docs.python-requests.org/en/latest/user/advanced/,Session,get,requests/requests/sessions.py
"s = requests.Session()

s.get('https://httpbin.org/cookies/set/sessioncookie/123456789')
r = s.get('https://httpbin.org/cookies')

print(r.text)
# '{""cookies"": {""sessioncookie"": ""123456789""}}'
",https://docs.python-requests.org/en/latest/user/advanced/,Response,text,requests/requests/models.py
"s = requests.Session()
s.auth = ('user', 'pass')
s.headers.update({'x-test': 'true'})

# both 'x-test' and 'x-test2' are sent
s.get('https://httpbin.org/headers', headers={'x-test2': 'true'})
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
"s = requests.Session()
s.auth = ('user', 'pass')
s.headers.update({'x-test': 'true'})

# both 'x-test' and 'x-test2' are sent
s.get('https://httpbin.org/headers', headers={'x-test2': 'true'})
",https://docs.python-requests.org/en/latest/user/advanced/,Session,get,requests/requests/sessions.py
"s = requests.Session()

r = s.get('https://httpbin.org/cookies', cookies={'from-my': 'browser'})
print(r.text)
# '{""cookies"": {""from-my"": ""browser""}}'

r = s.get('https://httpbin.org/cookies')
print(r.text)
# '{""cookies"": {}}'
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
"s = requests.Session()

r = s.get('https://httpbin.org/cookies', cookies={'from-my': 'browser'})
print(r.text)
# '{""cookies"": {""from-my"": ""browser""}}'

r = s.get('https://httpbin.org/cookies')
print(r.text)
# '{""cookies"": {}}'
",https://docs.python-requests.org/en/latest/user/advanced/,Session,get,requests/requests/sessions.py
"s = requests.Session()

r = s.get('https://httpbin.org/cookies', cookies={'from-my': 'browser'})
print(r.text)
# '{""cookies"": {""from-my"": ""browser""}}'

r = s.get('https://httpbin.org/cookies')
print(r.text)
# '{""cookies"": {}}'
",https://docs.python-requests.org/en/latest/user/advanced/,Response,text,requests/requests/models.py
"with requests.Session() as s:
    s.get('https://httpbin.org/cookies/set/sessioncookie/123456789')
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
"with requests.Session() as s:
    s.get('https://httpbin.org/cookies/set/sessioncookie/123456789')
",https://docs.python-requests.org/en/latest/user/advanced/,Session,get,requests/requests/sessions.py
">>> r = requests.get('https://en.wikipedia.org/wiki/Monty_Python')
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
"from requests import Request, Session

s = Session()

req = Request('POST', url, data=data, headers=headers)
prepped = req.prepare()

# do something with prepped.body
prepped.body = 'No, I want exactly this as the body.'

# do something with prepped.headers
del prepped.headers['Content-Type']

resp = s.send(prepped,
    stream=stream,
    verify=verify,
    proxies=proxies,
    cert=cert,
    timeout=timeout
)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
"from requests import Request, Session

s = Session()

req = Request('POST', url, data=data, headers=headers)
prepped = req.prepare()

# do something with prepped.body
prepped.body = 'No, I want exactly this as the body.'

# do something with prepped.headers
del prepped.headers['Content-Type']

resp = s.send(prepped,
    stream=stream,
    verify=verify,
    proxies=proxies,
    cert=cert,
    timeout=timeout
)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Request,__init__,requests/requests/models.py
"from requests import Request, Session

s = Session()

req = Request('POST', url, data=data, headers=headers)
prepped = req.prepare()

# do something with prepped.body
prepped.body = 'No, I want exactly this as the body.'

# do something with prepped.headers
del prepped.headers['Content-Type']

resp = s.send(prepped,
    stream=stream,
    verify=verify,
    proxies=proxies,
    cert=cert,
    timeout=timeout
)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Request,prepare,requests/requests/models.py
"from requests import Request, Session

s = Session()
req = Request('GET',  url, data=data, headers=headers)

prepped = s.prepare_request(req)

# do something with prepped.body
prepped.body = 'Seriously, send exactly these bytes.'

# do something with prepped.headers
prepped.headers['Keep-Dead'] = 'parrot'

resp = s.send(prepped,
    stream=stream,
    verify=verify,
    proxies=proxies,
    cert=cert,
    timeout=timeout
)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
"from requests import Request, Session

s = Session()
req = Request('GET',  url, data=data, headers=headers)

prepped = s.prepare_request(req)

# do something with prepped.body
prepped.body = 'Seriously, send exactly these bytes.'

# do something with prepped.headers
prepped.headers['Keep-Dead'] = 'parrot'

resp = s.send(prepped,
    stream=stream,
    verify=verify,
    proxies=proxies,
    cert=cert,
    timeout=timeout
)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Request,__init__,requests/requests/models.py
"from requests import Request, Session

s = Session()
req = Request('GET',  url, data=data, headers=headers)

prepped = s.prepare_request(req)

# do something with prepped.body
prepped.body = 'Seriously, send exactly these bytes.'

# do something with prepped.headers
prepped.headers['Keep-Dead'] = 'parrot'

resp = s.send(prepped,
    stream=stream,
    verify=verify,
    proxies=proxies,
    cert=cert,
    timeout=timeout
)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Session,prepare_request,requests/requests/sessions.py
"from requests import Request, Session

s = Session()
req = Request('GET',  url, data=data, headers=headers)

prepped = s.prepare_request(req)

# do something with prepped.body
prepped.body = 'Seriously, send exactly these bytes.'

# do something with prepped.headers
prepped.headers['Keep-Dead'] = 'parrot'

resp = s.send(prepped,
    stream=stream,
    verify=verify,
    proxies=proxies,
    cert=cert,
    timeout=timeout
)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Session,send,requests/requests/sessions.py
"from requests import Request, Session

s = Session()
req = Request('GET', url)

prepped = s.prepare_request(req)

# Merge environment settings into session
settings = s.merge_environment_settings(prepped.url, {}, None, None, None)
resp = s.send(prepped, **settings)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
"from requests import Request, Session

s = Session()
req = Request('GET', url)

prepped = s.prepare_request(req)

# Merge environment settings into session
settings = s.merge_environment_settings(prepped.url, {}, None, None, None)
resp = s.send(prepped, **settings)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Request,__init__,requests/requests/models.py
"from requests import Request, Session

s = Session()
req = Request('GET', url)

prepped = s.prepare_request(req)

# Merge environment settings into session
settings = s.merge_environment_settings(prepped.url, {}, None, None, None)
resp = s.send(prepped, **settings)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Session,prepare_request,requests/requests/sessions.py
"from requests import Request, Session

s = Session()
req = Request('GET', url)

prepped = s.prepare_request(req)

# Merge environment settings into session
settings = s.merge_environment_settings(prepped.url, {}, None, None, None)
resp = s.send(prepped, **settings)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Session,merge_environment_settings,requests/requests/sessions.py
"from requests import Request, Session

s = Session()
req = Request('GET', url)

prepped = s.prepare_request(req)

# Merge environment settings into session
settings = s.merge_environment_settings(prepped.url, {}, None, None, None)
resp = s.send(prepped, **settings)

print(resp.status_code)
",https://docs.python-requests.org/en/latest/user/advanced/,Session,send,requests/requests/sessions.py
">>> requests.get('https://requestb.in')
requests.exceptions.SSLError: hostname 'requestb.in' doesn't match either of '*.herokuapp.com', 'herokuapp.com'
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
">>> requests.get('https://github.com')

",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
">>> requests.get('https://github.com', verify='/path/to/certfile')
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
"s = requests.Session()
s.verify = '/path/to/certfile'
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
">>> requests.get('https://kennethreitz.org', verify=False)

",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
">>> requests.get('https://kennethreitz.org', cert=('/path/client.cert', '/path/client.key'))

",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
"s = requests.Session()
s.cert = '/path/client.cert'
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
">>> requests.get('https://kennethreitz.org', cert='/wrong_path/client.pem')
SSLError: [Errno 336265225] _ssl.c:347: error:140B0009:SSL routines:SSL_CTX_use_PrivateKey_file:PEM lib
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
"tarball_url = 'https://github.com/psf/requests/tarball/main'
r = requests.get(tarball_url, stream=True)
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
"if int(r.headers['content-length']) < TOO_LONG:
  content = r.content
  ...
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,N/A,N/A
"with requests.get('https://httpbin.org/get', stream=True) as r:
    # Do things with the response here.
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
"with open('massive-body', 'rb') as f:
    requests.post('http://some.url/streamed', data=f)
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,post,requests/requests/api.py
"def gen():
    yield 'hi'
    yield 'there'

requests.post('http://some.url/chunked', data=gen())
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,post,requests/requests/api.py
">>> url = 'https://httpbin.org/post'
>>> multiple_files = [
...     ('images', ('foo.png', open('foo.png', 'rb'), 'image/png')),
...     ('images', ('bar.png', open('bar.png', 'rb'), 'image/png'))]
>>> r = requests.post(url, files=multiple_files)
>>> r.text
{
  ...
  'files': {'images': 'data:image/png;base64,iVBORw ....'}
  'Content-Type': 'multipart/form-data; boundary=3131623adb2043caaeb5538cc7aa0b3a',
  ...
}
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,post,requests/requests/api.py
">>> url = 'https://httpbin.org/post'
>>> multiple_files = [
...     ('images', ('foo.png', open('foo.png', 'rb'), 'image/png')),
...     ('images', ('bar.png', open('bar.png', 'rb'), 'image/png'))]
>>> r = requests.post(url, files=multiple_files)
>>> r.text
{
  ...
  'files': {'images': 'data:image/png;base64,iVBORw ....'}
  'Content-Type': 'multipart/form-data; boundary=3131623adb2043caaeb5538cc7aa0b3a',
  ...
}
",https://docs.python-requests.org/en/latest/user/advanced/,Response,text,requests/requests/models.py
"def print_url(r, *args, **kwargs):
    print(r.url)
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,N/A,N/A
"def record_hook(r, *args, **kwargs):
    r.hook_called = True
    return r
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,N/A,N/A
">>> requests.get('https://httpbin.org/', hooks={'response': print_url})
https://httpbin.org/

",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
">>> r = requests.get('https://httpbin.org/', hooks={'response': [print_url, record_hook]})
>>> r.hook_called
True
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,get,requests/requests/api.py
">>> s = requests.Session()
>>> s.hooks['response'].append(print_url)
>>> s.get('https://httpbin.org/')
 https://httpbin.org/
 
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
">>> s = requests.Session()
>>> s.hooks['response'].append(print_url)
>>> s.get('https://httpbin.org/')
 https://httpbin.org/
 
",https://docs.python-requests.org/en/latest/user/advanced/,Session,get,requests/requests/sessions.py
"from requests.auth import AuthBase

class PizzaAuth(AuthBase):
    """"""Attaches HTTP Pizza Authentication to the given Request object.""""""
    def __init__(self, username):
        # setup any auth-related data here
        self.username = username

    def __call__(self, r):
        # modify and return the request
        r.headers['X-Pizza'] = self.username
        return r
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,N/A,N/A
">>> requests.get('http://pizzabin.org/admin', auth=PizzaAuth('kenneth'))

",https://docs.python-requests.org/en/latest/user/advanced/,Request,get,requests/requests/models.py
"import json
import requests

r = requests.get('https://httpbin.org/stream/20', stream=True)

for line in r.iter_lines():

    # filter out keep-alive new lines
    if line:
        decoded_line = line.decode('utf-8')
        print(json.loads(decoded_line))
",https://docs.python-requests.org/en/latest/user/advanced/,Request,get,requests/requests/models.py
"import json
import requests

r = requests.get('https://httpbin.org/stream/20', stream=True)

for line in r.iter_lines():

    # filter out keep-alive new lines
    if line:
        decoded_line = line.decode('utf-8')
        print(json.loads(decoded_line))
",https://docs.python-requests.org/en/latest/user/advanced/,Response,iter_lines,requests/requests/models.py
"r = requests.get('https://httpbin.org/stream/20', stream=True)

if r.encoding is None:
    r.encoding = 'utf-8'

for line in r.iter_lines(decode_unicode=True):
    if line:
        print(json.loads(line))
",https://docs.python-requests.org/en/latest/user/advanced/,Request,get,requests/requests/models.py
"r = requests.get('https://httpbin.org/stream/20', stream=True)

if r.encoding is None:
    r.encoding = 'utf-8'

for line in r.iter_lines(decode_unicode=True):
    if line:
        print(json.loads(line))
",https://docs.python-requests.org/en/latest/user/advanced/,Response,iter_lines,requests/requests/models.py
"lines = r.iter_lines()
# Save the first line for later or just skip it

first_line = next(lines)

for line in lines:
    print(line)
",https://docs.python-requests.org/en/latest/user/advanced/,Response,iter_lines,requests/requests/models.py
"import requests

proxies = {
  'http': 'http://10.10.1.10:3128',
  'https': 'http://10.10.1.10:1080',
}

requests.get('http://example.org', proxies=proxies)
",https://docs.python-requests.org/en/latest/user/advanced/,Request,get,requests/requests/models.py
"import requests

proxies = {
  'http': 'http://10.10.1.10:3128',
  'https': 'http://10.10.1.10:1080',
}
session = requests.Session()
session.proxies.update(proxies)

session.get('http://example.org')
",https://docs.python-requests.org/en/latest/user/advanced/,Session,__init__,requests/requests/sessions.py
"import requests

proxies = {
  'http': 'http://10.10.1.10:3128',
  'https': 'http://10.10.1.10:1080',
}
session = requests.Session()
session.proxies.update(proxies)

session.get('http://example.org')
",https://docs.python-requests.org/en/latest/user/advanced/,Session,get,requests/requests/sessions.py
"$ export HTTP_PROXY=""http://10.10.1.10:3128""
$ export HTTPS_PROXY=""http://10.10.1.10:1080""
$ export ALL_PROXY=""socks5://10.10.1.10:3434""

$ python
>>> import requests
>>> requests.get('http://example.org')
",https://docs.python-requests.org/en/latest/user/advanced/,Request,get,requests/requests/models.py
"from requests.utils import DEFAULT_CA_BUNDLE_PATH
print(DEFAULT_CA_BUNDLE_PATH)
",https://docs.python-requests.org/en/latest/user/advanced/,N/A,N/A,N/A
