Example,Truth functions,Test functions,Linked functions
"function square (x) {
  return x * x;
}

QUnit.test('square()', assert => {
  assert.equal(square(2), 4, 'square(2)');
  assert.equal(square(3), 9, 'square(3)');
});",['test'],"[('QUnit.test', 'N/A'), ('square', 'N/A'), ('assert.equal', 'N/A')]",[]
"QUnit.test('Test with async-await', async assert => {
  const a = await fetchSquare(2);
  const b = await fetchSquare(3);

  assert.equal(a, 4);
  assert.equal(b, 9);
  assert.equal(await fetchSquare(5), 25);
});",['test'],"[('QUnit.test', 'N/A'), ('fetchSquare', 'N/A'), ('assert.equal', 'N/A')]",[]
"function fetchSquare (x) {
  return new Promise(function (resolve) {
    setTimeout(function () {
      resolve(x * x);
    }, 1000);
  });
}

QUnit.test('Test with Promise', function (assert) {
  return fetchSquare(3).then(function (result) {
    assert.equal(result, 9);
  });
});",['test'],"[('Promise', 'N/A'), ('setTimeout', 'N/A'), ('resolve', 'N/A'), ('QUnit.test', 'N/A'), ('fetchSquare', 'N/A'), ('then', 'N/A'), ('assert.equal', 'N/A')]",[]
"function isEven (x) {
  return x % 2 === 0;
}

QUnit.test.each('isEven()', [2, 4, 6], (assert, data) => {
  assert.true(isEven(data), `${data} is even`);
});","['each', 'each']","[('test.each', 'N/A'), ('isEven', 'N/A'), ('assert.true', 'N/A')]",[]
"function square (x) {
  return x * x;
}

QUnit.test.each('square()', [
  [2, 4],
  [3, 9]
], (assert, [value, expected]) => {
  assert.equal(square(value), expected, `${value} squared`);
});","['each', 'each']","[('test.each', 'N/A'), ('square', 'N/A'), ('assert.equal', 'N/A')]",[]
"QUnit.test.each('isEven()', {
  caseEven: [2, true],
  caseNotEven: [3, false]
}, (assert, [value, expected]) => {
  assert.strictEqual(isEven(value), expected);
});","['each', 'each']","[('test.each', 'N/A'), ('isEven', 'N/A'), ('assert.strictEqual', 'N/A')]",[]
"function isEven (x) {
  return x % 2 === 0;
}

async function isAsyncEven (x) {
  return new Promise(resolve => {
    resolve(isEven(x));
  });
}

QUnit.test.each('isAsyncEven()', [2, 4], async (assert, data) => {
  assert.true(await isAsyncEven(data), `${data} is even`);
});",['each'],"[('Promise', 'N/A'), ('resolve', 'N/A'), ('isEven', 'N/A'), ('test.each', 'N/A'), ('isAsyncEven', 'N/A'), ('assert.true', 'N/A')]",[]
"function isEven (x) {
  return x % 2 === 0;
}

function isAsyncEven (x) {
  return new Promise(function (resolve) {
    resolve(isEven(x));
  });
}

QUnit.test.each('isAsyncEven()', [2, 4], (assert, value) => {
  return isAsyncEven(value).then((result) => {
    assert.true(result, `${value} is even`);
  });
});",['each'],"[('Promise', 'N/A'), ('resolve', 'N/A'), ('isEven', 'N/A'), ('test.each', 'N/A'), ('isAsyncEven', 'N/A'), ('then', 'N/A'), ('assert.true', 'N/A')]",[]
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say()', assert => {
    assert.true(robot.say('Hello'));
  });

  // Run only this test
  // For example, you are working on changing this method.
  QUnit.test.only('laser()', assert => {
    assert.true(robot.laser());
  });

  QUnit.test('take()', assert => {
    assert.true(robot.take(5));
  });
});","['test', 'only', 'test']","[('hooks.beforeEach', 'N/A'), ('Robot', 'N/A'), ('QUnit.test', 'N/A'), ('say', 'N/A'), ('assert.true', 'N/A'), ('robot.say', 'N/A'), 'module.only', ('laser', 'N/A'), ('robot.laser', 'N/A'), ('take', 'N/A'), ('robot.take', 'N/A')]",[]
"QUnit.module('robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('say', assert => {
    assert.strictEqual(robot.say(), 'Exterminate!');
  });

  // Robot does not yet have a laser() method yet, skip this test for now
  QUnit.test.skip('laser', assert => {
    assert.true(robot.laser());
  });
});","['test', 'skip']","[('hooks.beforeEach', 'N/A'), ('Robot', 'N/A'), ('QUnit.test', 'N/A'), ('assert.strictEqual', 'N/A'), ('robot.say', 'N/A'), ('laser', 'N/A'), ('assert.true', 'N/A'), ('robot.laser', 'N/A')]",[]
"QUnit.module('Robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  // Robot is not yet finished, expect this is a todo test
  QUnit.test.todo('fireLazer', assert => {
    const result = robot.fireLazer();
    assert.equal(result, ""I'm firing my lazer!"");
  });
});",['todo'],"[('hooks.beforeEach', 'N/A'), ('Robot', 'N/A'), ('robot.fireLazer', 'N/A'), ('assert.equal', 'N/A')]",[]
